,core,framework
0,130.395,4.864
1,8.818,4.0569999999999995
2,2.7369999999999997,3.715
3,3.8019999999999996,3.62
4,3.0260000000000002,3.726
5,2.941,3.83
6,2.418,4.12
7,3.1449999999999996,3.646
8,3.8040000000000003,3.878
9,3.644,4.05
10,2.433,3.676
11,2.6,3.544
12,3.5869999999999997,3.925
13,2.532,3.8800000000000003
14,2.508,3.713
15,2.271,4.5409999999999995
16,2.458,3.735
17,2.332,3.701
18,2.319,3.57
19,2.2790000000000004,6.133
20,2.999,4.981
21,2.561,3.846
22,2.5869999999999997,3.876
23,2.406,3.716
24,2.474,4.337
25,2.373,3.9709999999999996
26,2.335,3.9630000000000005
27,2.385,3.864
28,2.321,3.7720000000000002
29,2.3739999999999997,3.722
30,2.34,3.535
31,3.231,3.711
32,3.477,3.707
33,2.835,3.69
34,2.474,4.354
35,2.4699999999999998,3.813
36,2.555,3.832
37,2.663,3.8040000000000003
38,2.709,3.776
39,4.556,3.76
40,5.191000000000001,3.769
41,2.8609999999999998,5.034000000000001
42,2.6159999999999997,3.828
43,2.83,3.884
44,2.549,3.9090000000000003
45,3.016,3.792
46,3.179,3.895
47,2.4699999999999998,3.673
48,2.2880000000000003,3.696
49,2.943,3.9370000000000003
50,3.337,3.7520000000000002
51,2.441,3.573
52,2.754,3.505
53,3.542,4.074999999999999
54,3.359,3.5660000000000003
55,3.0,3.6350000000000002
56,2.689,3.837
57,3.428,3.764
58,4.139,3.5109999999999997
59,3.484,3.66
60,3.449,3.877
61,4.42,3.899
62,5.562,3.9560000000000004
63,3.747,4.05
64,3.2720000000000002,3.696
65,4.179,3.556
66,4.961,4.289000000000001
67,4.0280000000000005,3.973
68,44.332,3.694
69,4.034000000000001,3.76
70,4.204000000000001,3.858
71,3.353,3.7169999999999996
72,3.455,4.226
73,3.306,3.8080000000000003
74,2.9979999999999998,3.9490000000000003
75,3.532,3.604
76,4.5009999999999994,3.856
77,2.823,3.6319999999999997
78,3.895,3.751
79,2.856,3.5500000000000003
80,2.868,3.67
81,2.755,3.928
82,3.267,3.834
83,3.352,3.67
84,6.159999999999999,3.504
85,2.75,3.7729999999999997
86,4.66,4.039
87,4.149,3.572
88,4.87,3.797
89,3.599,4.57
90,3.024,4.061999999999999
91,3.31,4.418
92,3.078,4.346
93,3.542,4.051
94,2.407,3.658
95,2.655,3.927
96,2.2169999999999996,3.655
97,3.3400000000000003,3.5959999999999996
98,2.4229999999999996,4.037
99,3.128,4.549
100,2.9099999999999997,3.7100000000000004
101,3.264,4.024
102,3.032,3.913
103,2.46,3.922
104,2.5100000000000002,4.2589999999999995
105,2.426,3.8600000000000003
106,2.562,3.68
107,2.04,3.467
108,2.2390000000000003,4.486000000000001
109,2.0,4.045
110,1.925,4.1850000000000005
111,1.996,4.228
112,1.951,3.892
113,2.036,3.755
114,1.9009999999999998,4.061999999999999
115,2.0349999999999997,4.044
116,2.045,3.819
117,2.214,3.609
118,2.721,3.901
119,2.254,3.639
120,2.165,4.2379999999999995
121,3.399,3.661
122,2.659,3.947
123,2.819,3.907
124,2.26,3.897
125,2.83,3.873
126,4.196,5.212
127,2.296,3.742
128,2.712,3.813
129,2.685,3.9859999999999998
130,3.161,3.712
131,3.3310000000000004,3.5860000000000003
132,3.7950000000000004,4.155
133,2.605,4.516
134,2.6670000000000003,3.736
135,3.934,3.726
136,4.024,3.6519999999999997
137,4.231999999999999,3.649
138,4.445,3.622
139,2.799,4.138
140,3.9430000000000005,4.265
141,2.484,3.555
142,3.4520000000000004,4.152
143,2.765,3.7399999999999998
144,2.628,3.5100000000000002
145,2.7529999999999997,4.0889999999999995
146,3.592,4.038
147,2.62,3.7439999999999998
148,3.146,3.649
149,3.748,4.129
150,4.182,3.999
151,2.278,3.834
152,4.662999999999999,3.692
153,2.578,3.871
154,2.494,3.5829999999999997
155,3.628,3.644
156,2.6510000000000002,3.782
157,3.73,3.686
158,2.57,3.59
159,4.314,3.653
160,2.404,3.77
161,2.193,3.5370000000000004
162,2.7279999999999998,3.754
163,3.375,3.499
164,3.013,3.718
165,3.863,3.6319999999999997
166,2.7880000000000003,3.604
167,5.37,3.872
168,2.347,3.797
169,3.209,3.554
170,2.922,3.661
171,3.852,3.849
172,3.089,3.761
173,6.4799999999999995,3.509
174,2.141,3.833
175,2.522,4.186999999999999
176,8.119,3.867
177,4.558000000000001,3.757
178,4.645,4.044
179,4.471,3.6020000000000003
180,5.531000000000001,3.4520000000000004
181,3.3800000000000003,3.819
182,3.847,3.6519999999999997
183,3.314,3.713
184,3.194,3.544
185,4.804,3.9029999999999996
186,5.083,3.754
187,5.095,3.585
188,3.029,4.2170000000000005
189,2.9450000000000003,4.21
190,4.176,3.882
191,2.451,4.029
192,3.179,4.063
193,2.16,5.7010000000000005
194,2.055,4.978
195,2.604,4.258
196,2.242,3.997
197,2.684,3.9769999999999994
198,2.697,3.8960000000000004
199,3.348,3.9909999999999997
200,3.782,4.0569999999999995
201,2.649,3.933
202,2.264,3.732
203,2.822,3.5460000000000003
204,2.048,3.557
205,2.081,3.721
206,2.1220000000000003,3.791
207,2.305,3.659
208,2.81,3.8240000000000003
209,4.078,3.7590000000000003
210,4.2620000000000005,3.711
211,3.9179999999999997,3.599
212,4.967,4.105
213,3.7720000000000002,3.5530000000000004
214,4.805000000000001,3.661
215,4.298,5.603999999999999
216,3.814,3.891
217,3.862,3.657
218,2.939,3.778
219,2.8800000000000003,3.7950000000000004
220,2.134,3.561
221,2.142,3.467
222,2.027,3.657
223,2.5500000000000003,3.6180000000000003
224,3.136,3.5820000000000003
225,4.646,3.5620000000000003
226,3.614,3.9810000000000003
227,3.194,3.4290000000000003
228,3.038,3.472
229,3.842,3.9459999999999997
230,4.178,3.972
231,3.993,3.575
232,3.8449999999999998,3.693
233,3.4090000000000003,4.186
234,2.443,3.648
235,3.733,3.548
236,3.291,4.58
237,3.851,3.832
238,2.803,3.702
239,3.777,3.9490000000000003
240,2.928,3.79
241,2.129,3.633
242,2.6310000000000002,3.8600000000000003
243,2.4789999999999996,3.8930000000000002
244,2.693,3.6159999999999997
245,2.574,3.8939999999999997
246,2.6510000000000002,3.661
247,2.5149999999999997,3.7030000000000003
248,2.463,3.519
249,4.19,3.8080000000000003
250,3.504,3.832
251,2.697,3.7169999999999996
252,2.441,5.034000000000001
253,2.553,3.518
254,3.438,3.836
255,2.5469999999999997,3.8960000000000004
256,2.813,3.646
257,5.173,3.69
258,2.774,3.585
259,3.552,3.5959999999999996
260,3.059,3.694
261,3.726,3.707
262,3.5100000000000002,3.769
263,4.599,3.5260000000000002
264,3.006,3.5509999999999997
265,2.69,4.13
266,2.4299999999999997,3.757
267,2.1940000000000004,3.544
268,3.415,3.816
269,2.213,3.664
270,2.73,3.474
271,3.129,3.592
272,2.2729999999999997,4.285
273,2.057,3.765
274,3.9899999999999998,3.555
275,3.2750000000000004,3.7100000000000004
276,3.639,4.49
277,2.347,3.643
278,2.492,3.483
279,1.957,4.01
280,2.026,3.6180000000000003
281,2.095,3.684
282,1.944,3.994
283,3.709,3.8240000000000003
284,2.022,3.564
285,2.006,3.7840000000000003
286,2.313,3.985
287,2.3379999999999996,3.8609999999999998
288,2.241,3.8289999999999997
289,2.075,3.757
290,2.4090000000000003,3.8449999999999998
291,2.048,3.5140000000000002
292,2.6189999999999998,4.0489999999999995
293,1.761,3.806
294,1.8339999999999999,3.83
295,1.8190000000000002,3.9579999999999997
296,1.788,3.914
297,1.792,3.722
298,1.758,3.615
299,1.803,4.039
300,1.767,4.0920000000000005
301,1.658,3.7529999999999997
302,1.7429999999999999,3.921
303,1.756,3.817
304,1.76,3.812
305,1.789,3.769
306,1.754,3.9370000000000003
307,1.797,3.872
308,1.8190000000000002,3.884
309,1.769,3.742
310,1.73,3.725
311,2.2680000000000002,3.693
312,1.818,3.5860000000000003
313,1.732,3.6670000000000003
314,1.707,3.8440000000000003
315,1.756,3.718
316,2.798,3.591
317,1.818,3.605
318,1.787,4.2139999999999995
319,1.728,4.241
320,1.736,3.678
321,2.376,4.398
322,1.814,3.6319999999999997
323,1.835,3.731
324,1.858,6.5440000000000005
325,1.787,3.823
326,2.012,3.574
327,1.832,3.781
328,1.804,3.7729999999999997
329,1.7750000000000001,3.5309999999999997
330,1.74,3.435
331,1.737,4.164000000000001
332,1.891,3.604
333,1.881,3.541
334,1.974,3.794
335,2.113,3.791
336,2.281,3.64
337,2.0509999999999997,5.514
338,1.8359999999999999,3.862
339,1.8339999999999999,3.65
340,1.9819999999999998,4.352
341,1.953,3.706
342,1.9819999999999998,3.6270000000000002
343,1.786,4.023
344,1.871,3.997
345,1.788,3.846
346,2.047,3.9899999999999998
347,1.803,3.713
348,1.871,3.83
349,1.734,3.6069999999999998
350,1.794,4.23
351,1.756,3.9119999999999995
352,1.88,3.693
353,1.8010000000000002,3.771
354,1.7550000000000001,3.6310000000000002
355,1.746,3.7950000000000004
356,1.751,3.952
357,1.9829999999999999,3.5530000000000004
358,2.012,3.476
359,2.036,3.93
360,2.0300000000000002,3.68
361,3.353,4.326
362,2.2390000000000003,3.766
363,2.2009999999999996,4.138
364,2.105,3.7079999999999997
365,2.6020000000000003,3.5620000000000003
366,2.255,3.901
367,1.9469999999999998,3.522
368,1.8719999999999999,3.665
369,2.14,4.065
370,2.954,3.9909999999999997
371,2.25,3.5669999999999997
372,2.052,3.707
373,2.269,3.8080000000000003
374,1.848,3.578
375,2.0660000000000003,3.471
376,1.916,4.106
377,1.9849999999999999,3.751
378,1.877,3.493
379,1.8940000000000001,3.69
380,1.778,3.8
381,1.771,3.661
382,1.764,3.7750000000000004
383,2.0140000000000002,3.641
384,1.8090000000000002,3.848
385,1.719,3.5370000000000004
386,1.817,4.063
387,1.77,4.2620000000000005
388,1.74,3.75
389,1.7619999999999998,3.6809999999999996
390,1.754,3.572
391,1.7979999999999998,3.779
392,1.9040000000000001,3.5660000000000003
393,1.9469999999999998,3.906
394,1.9719999999999998,3.898
395,1.895,3.6879999999999997
396,1.9400000000000002,3.712
397,1.807,3.73
398,1.7149999999999999,3.718
399,1.818,3.875
400,2.494,3.544
401,1.8550000000000002,3.592
402,2.937,3.6740000000000004
403,2.0370000000000004,3.925
404,1.8639999999999999,4.897
405,2.536,3.849
406,2.9659999999999997,3.7390000000000003
407,2.568,3.6069999999999998
408,2.3579999999999997,4.063
409,2.417,4.303000000000001
410,2.232,4.039
411,2.693,4.203
412,2.312,3.9830000000000005
413,2.4810000000000003,3.9189999999999996
414,2.1380000000000003,3.678
415,2.139,3.892
416,2.843,3.727
417,2.095,3.557
418,2.238,3.709
419,1.981,3.73
420,1.835,3.725
421,1.846,3.5
422,1.867,4.071
423,1.9020000000000001,3.684
424,1.939,3.613
425,1.8519999999999999,3.6870000000000003
426,1.788,3.8310000000000004
427,1.707,3.718
428,1.817,3.626
429,1.83,3.9659999999999997
430,1.8339999999999999,3.675
431,1.735,3.711
432,1.751,3.516
433,1.806,3.875
434,1.9789999999999999,3.513
435,2.124,3.72
436,1.822,3.6020000000000003
437,1.748,5.096
438,1.7249999999999999,3.835
439,1.83,3.701
440,1.752,3.864
441,1.718,3.6519999999999997
442,1.787,3.8289999999999997
443,1.784,3.748
444,1.7329999999999999,3.69
445,1.7630000000000001,3.9290000000000003
446,1.7329999999999999,3.9309999999999996
447,1.7309999999999999,4.024
448,1.739,4.325
449,1.821,3.77
450,1.7409999999999999,3.7889999999999997
451,2.475,4.247
452,1.869,4.181
453,1.807,4.405
454,1.914,4.289000000000001
455,1.9449999999999998,4.112
456,2.0170000000000003,4.026
457,2.191,4.457
458,2.475,3.661
459,2.1670000000000003,3.914
460,2.702,3.6679999999999997
461,1.935,3.62
462,1.803,3.464
463,1.9819999999999998,3.4
464,1.888,3.712
465,2.346,3.545
466,2.076,3.57
467,2.594,4.013
468,2.294,3.624
469,2.545,3.678
470,2.165,3.756
471,2.007,3.867
472,2.1029999999999998,3.499
473,1.928,3.508
474,2.047,3.766
475,2.17,3.656
476,2.219,3.5239999999999996
477,1.8539999999999999,3.571
478,1.8920000000000001,3.8449999999999998
479,2.137,3.542
480,2.249,3.5500000000000003
481,1.898,3.696
482,1.766,3.855
483,2.054,3.532
484,2.563,3.8310000000000004
485,1.9629999999999999,3.569
486,2.129,3.568
487,1.8760000000000001,3.577
488,1.996,3.622
489,1.813,4.008
490,1.9689999999999999,4.32
491,1.7979999999999998,3.6510000000000002
492,1.7750000000000001,3.5829999999999997
493,1.779,3.9240000000000004
494,1.8940000000000001,4.319
495,1.7650000000000001,3.769
496,1.751,4.002000000000001
497,2.4099999999999997,3.712
498,1.784,3.4949999999999997
499,1.9989999999999999,3.453
500,1.797,3.873
501,1.831,3.598
502,1.748,3.659
503,1.767,3.892
504,1.961,3.675
505,1.893,3.494
506,2.34,3.57
507,1.878,3.8080000000000003
508,1.785,3.574
509,2.348,3.653
510,1.828,3.6870000000000003
511,1.736,3.68
512,1.794,3.5
513,1.66,3.735
514,2.225,3.799
515,1.9680000000000002,3.769
516,2.13,3.552
517,2.183,3.7039999999999997
518,2.213,3.761
519,2.599,3.64
520,2.842,4.133
521,2.483,4.074000000000001
522,1.9849999999999999,3.658
523,2.663,3.746
524,2.232,3.589
525,2.2230000000000003,3.701
526,1.9220000000000002,4.078
527,2.063,4.277
528,1.9300000000000002,3.8040000000000003
529,2.22,4.091
530,2.428,3.679
531,1.835,3.556
532,2.533,3.9769999999999994
533,2.287,4.236
534,2.137,3.535
535,2.353,3.7030000000000003
536,2.199,3.648
537,1.907,3.534
538,1.8920000000000001,3.743
539,1.9819999999999998,4.347
540,1.9369999999999998,3.799
541,2.6679999999999997,3.4589999999999996
542,2.9,4.061
543,2.024,3.82
544,2.375,3.675
545,2.062,3.589
546,1.996,3.811
547,1.9559999999999997,3.4979999999999998
548,1.838,3.6020000000000003
549,2.1719999999999997,5.2139999999999995
550,2.0799999999999996,3.637
551,1.9120000000000001,3.5500000000000003
552,1.838,3.987
553,1.747,3.8240000000000003
554,1.714,3.656
555,2.0300000000000002,4.079
556,1.848,5.171
557,1.7329999999999999,3.779
558,1.718,3.933
559,1.6980000000000002,4.312
560,1.9020000000000001,3.6
561,1.9629999999999999,3.657
562,1.722,3.698
563,1.739,3.885
564,1.745,3.5
565,1.72,4.172000000000001
566,1.966,3.9610000000000003
567,1.821,3.641
568,1.9,3.666
569,1.9589999999999999,3.626
570,1.85,3.852
571,1.754,3.914
572,1.895,3.629
573,1.896,3.731
574,1.754,3.859
575,1.766,3.558
576,1.7149999999999999,3.516
577,2.506,3.61
578,2.408,4.326
579,2.552,3.665
580,1.866,3.705
581,1.774,4.182
582,2.176,3.764
583,1.9300000000000002,3.4650000000000003
584,1.795,3.9430000000000005
585,1.691,3.8539999999999996
586,1.768,3.489
587,1.784,3.581
588,1.759,3.7750000000000004
589,2.013,3.6350000000000002
590,1.82,3.5860000000000003
591,1.802,3.883
592,1.829,3.718
593,2.4130000000000003,3.507
594,2.184,3.621
595,2.055,3.8899999999999997
596,1.9620000000000002,3.601
597,1.8860000000000001,3.669
598,2.144,3.906
599,2.12,3.746
600,1.931,3.512
601,1.7979999999999998,4.063
602,1.9120000000000001,4.079
603,1.804,3.835
604,1.724,3.777
605,1.831,4.074000000000001
606,1.91,4.256
